Month,Total A&E Attendances
2010-08,1752381
2010-09,1756268
2010-10,1801348
2010-11,1651027
2010-12,1737741
2011-01,1727797
2011-02,1599364
2011-03,1863441
2011-04,1844375
2011-05,1873695
2011-06,1785417
2011-07,1864959
2011-08,1758108
2011-09,1781211
2011-10,1848912
2011-11,1741441
2011-12,1732046
2012-01,1737518
2012-02,1704232
2012-03,1933153
2012-04,1769523
2012-05,1929570
2012-06,1887841
2012-07,1924523
2012-08,1845142
2012-09,1788491
2012-10,1832304
2012-11,1755605
2012-12,1822426
2013-01,1733118
2013-02,1648748
2013-03,1865084
2013-04,1831420
2013-05,1891670
2013-06,1831036
2013-07,1976289
2013-08,1840591
2013-09,1768749
2013-10,1829429
2013-11,1733037
2013-12,1782029
2014-01,1739539
2014-02,1661814
2014-03,1957341
2014-04,1877676
2014-05,1978028
2014-06,1942268
2014-07,1993631
2014-08,1817310
2014-09,1853286
2014-10,1892374
2014-11,1830460
2014-12,1901227
2015-01,1732067
2015-02,1654846
2015-03,1942967
2015-04,1873168
2015-05,1937469
2015-06,1911209
2015-07,1952895
2015-08,1865139
2015-09,1859979
2015-10,1923108
2015-11,1874235
2015-12,1867652
2016-01,1906920
2016-02,1870776
2016-03,2087553
2016-04,1867781
2016-05,2070340
2016-06,1958802
2016-07,2079034
2016-08,1932901
2016-09,1952464
2016-10,2001816
2016-11,1907871
2016-12,1944567
2017-01,1895272
2017-02,1735619
2017-03,2015834
2017-04,1949762
2017-05,2066789
2017-06,1994056
2017-07,2073944
2017-08,1924663
2017-09,1925961
2017-10,2044137
2017-11,1976971
2017-12,2003954
2018-01,2000086
2018-02,1820012
2018-03,2049785
2018-04,1984369
2018-05,2164458
2018-06,2093942
2018-07,2179896
2018-08,1997854
2018-09,2005695
2018-10,2079492
2018-11,2037847
2018-12,2047518
2019-01,2113413
2019-02,1954947
2019-03,2167551
2019-04,2112165
2019-05,2172006
2019-06,2107987
2019-07,2265050
2019-08,2125435
2019-09,2123345
2019-10,2170885
2019-11,2143505
2019-12,2180537
